category_code,status,founded_at,first_investment_at,last_investment_at,investment_rounds,first_funding_at,last_funding_at,funding_rounds,funding_total_usd,first_milestone_at,last_milestone_at,milestones,relationships,lat,lng,country_CAN,country_DEU,country_ESP,country_FRA,country_GBR,country_IND,country_IRL,country_ISR,country_SWE,country_USA,country_other,isClosed,active_days,Operating_Status
enterprise,operating,2012,,,15.679245283018869,2013.0,2013.0,1.0,1250000.0,2013.0,2013.0,1.0,6.0,40.6781784,-73.9441579,False,False,False,False,False,False,False,False,False,True,False,1,3285,Operating
web,operating,2003,,,15.679245283018869,2007.0,2007.0,1.0,5000000.0,2010.465220643231,2011.1261530790327,1.5784093742208924,1.0,22.543096,114.057865,False,False,False,False,False,False,False,False,False,False,True,1,6570,Operating
news,operating,2007,,,15.679245283018869,2011.0,2011.0,1.0,10000000.0,2010.465220643231,2011.1261530790327,1.5784093742208924,4.752173199934394,34.0522342,-118.2436849,False,False,False,False,False,False,False,False,False,True,False,1,5110,Operating
mobile,operating,2006,,,15.679245283018869,2013.0,2013.0,1.0,10917805.0,2011.0,2012.0,2.0,13.0,33.3061605,-111.8412502,False,False,False,False,False,False,False,False,False,True,False,1,5475,Operating
transportation,operating,2010,,,15.679245283018869,2011.0,2012.0,2.0,2100000.0,2011.0,2013.0,3.0,4.0,55.6760968,12.5683372,False,False,False,False,False,False,False,False,False,False,True,1,4015,Operating
ecommerce,operating,2009,,,15.679245283018869,2009.0,2009.0,1.0,1080450.0,2011.0,2012.0,3.0,3.0,53.3498053,-6.2603097,False,False,False,False,False,False,True,False,False,False,False,1,4380,Operating
web,operating,2006,,,15.679245283018869,2007.0,2008.0,2.0,3650000.0,2011.0,2013.0,2.0,12.0,40.2338438,-111.6585337,False,False,False,False,False,False,False,False,False,True,False,1,5475,Operating
biotech,operating,2007,,,15.679245283018869,2013.0,2013.0,1.0,7724807.0,2011.0,2011.0,1.0,4.0,59.9342802,30.3350986,False,False,False,False,False,False,False,False,False,True,False,1,5110,Operating
network_hosting,operating,2006,,,15.679245283018869,2008.0,2008.0,1.0,2500000.0,2008.0,2011.0,5.0,9.0,37.5778696,-122.34809,False,False,False,False,False,False,False,False,False,True,False,1,5475,Operating
advertising,operating,2007,,,15.679245283018869,2011.0,2011.0,1.0,1600000.0,2009.0,2009.0,1.0,2.0,32.0852999,34.7817676,False,False,False,False,False,False,False,True,False,False,False,1,5110,Operating
